10^4 m3	m3/s
Storage	Release
354352.2164	438.8544885
354251.9068	286.6514381
354273.9259	461.9610353
353334.4409	369.8746502
352796.1943	342.5772101
352304.4326	419.570716
352289.7532	241.7126025
354949.1808	249.4147848
358883.2743	-69.00815514
358858.8085	525.7872075
354724.0958	924.3185065
352972.3477	827.1067721
355585.2904	1109.114247
356480.7371	2212.480175
356001.2083	1652.061464
353828.6492	986.9553711
355822.6083	490.1646145
355164.4794	652.6749971
355000.5589	609.6617071
357659.9865	450.8325146
359773.8278	761.9213913
359778.7209	854.0077764
362628.9814	500.2737287
368662.2368	758.1835675
360502.9073	1780.081927
358675.3154	1392.480931
357567.0166	1259.165217
356862.4029	1451.606507
355494.7671	1377.473002
354699.6301	1092.237407
353004.1532	862.5311472
352067.1148	787.066751
350046.2434	803.6604231
348338.5337	599.8357614
348181.9528	523.1254239
346285.8568	490.6460009
344284.558	315.449671
344668.6703	206.741297
346332.3417	250.6324092
347885.9172	359.2558327
348534.2597	381.5128741
348712.8597	410.4243745
346711.5609	189.6096048
345456.4677	211.894963
346902.3938	303.9813482
344291.8977	761.043569
344353.0621	624.1882494
345808.7745	641.3199416
347413.7281	700.502151
346192.8869	662.2177744
343853.9607	528.5905753
341282.6098	748.0461364
340516.8316	825.9174645
339190.7877	882.6644251
341916.2728	796.0715082
341280.1632	848.7974766
341341.3276	847.3816343
338393.204	509.7032387
337739.9684	835.3469745
336350.3135	834.6390533
336802.9299	775.5417945
339114.9438	830.7596453
340619.5878	758.8914887
337634.7656	707.1566099
333287.2009	556.8507882
333223.5899	656.4694545
331496.3076	874.9905597
331224.7377	841.4917302
331953.8172	836.536282
332151.9898	906.3656257
332558.1214	816.3463704
328347.5648	552.7448455
327833.784	697.4439316
326701.0195	747.2815816
325311.3646	806.9168605
325120.5317	760.8736679
324574.9453	605.6973486
322813.4109	535.1884006
319520.3203	508.5705648
317049.2789	569.1686165
315326.8898	694.6122469
315603.3528	653.8359878
316466.994	565.7705949
318018.1229	447.7459783
315618.0323	562.3725733
315297.5309	467.7943057
314465.6952	548.2707837
314042.4376	634.2124131
314194.1253	764.554858
316077.9885	681.8696659
317521.468	592.3884307
318106.1996	603.9983378
317352.6543	593.2379361
316077.9885	605.1310117
313854.0513	807.0301279
312364.0868	857.5190653
311302.273	762.0063418
311116.3332	686.2021435
309367.0317	633.4478583
307654.4288	603.4320009
308540.0892	720.9469142
306678.2452	787.4915037
304628.0149	557.8418779
304892.245	674.2241174
304048.1765	855.1687671
302152.0804	763.1390157
300879.8611	774.4657543
299340.9651	743.0340546
297780.0499	889.148983
298093.2116	945.7826762
298577.6335	855.8483714
298575.187	879.1248193
298098.1047	766.0839677
295360.3867	950.5115896
292461.1947	1237.559463
290058.6575	1143.151097
290303.315	1109.539
291482.5645	1044.891639
294594.6086	638.8280591
292891.792	840.1608384
291861.7837	824.8697412
289143.6382	861.3984733
288509.9752	970.9846696
287086.0682	1101.525332
287768.6628	883.7687821
290611.5836	563.9299999
291526.6028	459.3842023
290110.0356	400.4002108
288891.6409	768.2643649
287878.7587	907.2717648
287240.2024	996.6680495
287895.8847	1047.383522
288779.0985	833.59133
286528.249	583.9216936
284074.3337	548.2991006
281740.3006	511.4872
282175.7911	518.7929464
281228.9663	509.7032387
283403.972	489.7398618
284096.3529	474.024012
281515.2157	672.3835223
283440.6706	697.5005653
281490.7499	905.2895855
278620.9168	920.892168
275621.4152	855.7067872
276781.092	292.7961938
279132.2511	161.9157288
280600.1964	251.7367662
280908.4649	170.6939513
280013.0183	504.9460084
282623.5144	517.8301736
281918.9006	889.9984884
283572.7857	853.2715384
284480.4652	796.4396272
280954.9499	796.2414093
278608.6839	533.2062213
279239.9004	827.4182574
278865.5743	854.9705492
280959.843	779.9309057
282677.339	721.3150332
287673.2463	729.1021661
288661.6628	1159.518234
287416.3559	1508.098616
284964.8872	1740.778144
284556.3091	1596.588761
284749.5885	1607.688965
284725.1228	1471.173448
285177.7393	1535.254472
