!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
199112       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199201       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199202       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199203       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199204       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199205       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199206       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199207       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199208       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199209       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199210       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199211       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199212       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199301       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199302       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199303       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199304       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199305       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199306       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
