      CROP        SUB        HRU       YEAR      YIELD    BIOMASS
      SWCH         11        622          9        0.0        0.0
      SWCH         11        622         10        0.0        0.0
      SWCH         11        623          1       19.4    22759.5
      SWCH         11        623          2        0.0        0.0
      SWCH         11        623          3        0.0        0.0
      SWCH         11        623          4        0.0        0.0
      SWCH         11        623          5        0.0        0.0
      SWCH         11        623          6        0.0        0.0
      SWCH         11        623          7        0.0        0.0
      SWCH         11        623          8        0.0        0.0
      SWCH         11        623          9        0.0        0.0
      SWCH         11        623         10        0.0        0.0
      SWCH         11        624          1       21.4    22748.9
      SWCH         11        624          2        0.0        0.0
      SWCH         11        624          3        0.0        0.0
      SWCH         11        624          4        0.0        0.0
      SWCH         11        624          5        0.0        0.0
      SWCH         11        624          6        0.0        0.0
      SWCH         11        624          7        0.0        0.0
      SWCH         11        624          8        0.0        0.0
      SWCH         11        624          9        0.0        0.0
      SWCH         11        624         10        0.0        0.0
      SWCH         12        677          1       35.0    35413.6
      SWCH         12        677          2        0.0        0.0
      SWCH         12        677          3        0.0        0.0
      SWCH         12        677          4        0.0        0.0
      SWCH         12        677          5        0.0        0.0
      SWCH         12        677          6        0.0        0.0
      SWCH         12        677          7        0.0        0.0
      SWCH         12        677          8        0.0        0.0
      SWCH         12        677          9        0.0        0.0
      SWCH         12        677         10        0.0        0.0
      SWCH         12        678          1       35.0    35408.2
      SWCH         12        678          2        0.0        0.0
      SWCH         12        678          3        0.0        0.0
      SWCH         12        678          4        0.0        0.0
      SWCH         12        678          5        0.0        0.0
      SWCH         12        678          6        0.0        0.0
      SWCH         12        678          7        0.0        0.0
      SWCH         12        678          8        0.0        0.0
      SWCH         12        678          9        0.0        0.0
      SWCH         12        678         10        0.0        0.0
      SWCH         12        679          1       37.8    34943.0
      SWCH         12        679          2        0.0        0.0
      SWCH         12        679          3        0.0        0.0
      SWCH         12        679          4        0.0        0.0
      SWCH         12        679          5        0.0        0.0
      SWCH         12        679          6        0.0        0.0
      SWCH         12        679          7        0.0        0.0
      SWCH         12        679          8        0.0        0.0
      SWCH         12        679          9        0.0        0.0
      SWCH         12        679         10        0.0        0.0
      SWCH         12        680          1       35.1    35385.5
      SWCH         12        680          2        0.0        0.0
      SWCH         12        680          3        0.0        0.0
      SWCH         12        680          4        0.0        0.0
      SWCH         12        680          5        0.0        0.0
      SWCH         12        680          6        0.0        0.0
      SWCH         12        680          7        0.0        0.0
      SWCH         12        680          8        0.0        0.0
      SWCH         12        680          9        0.0        0.0
      SWCH         12        680         10        0.0        0.0
      SWCH         12        681          1       83.7    31756.2
